id,Reviews,clean_text,tokens
3024,一直用这个隔离，挺好用的,一直用这个隔离 挺好用的,一直用 隔离 挺好用的
3025,一直在用真的很不错的，敷完湿湿润润的肤色也亮亮的！,一直在用真的很不错的 敷完湿湿润润的肤色也亮亮的,一直在用 真的很不错 敷 完 湿湿润润的 肤色 亮亮的
3026,卸妆效果特好！！棒棒哒！！值得信赖！！五星！！,卸妆效果特好 棒棒哒 值得信赖 五星,卸妆效果 特好 棒棒哒 值得信赖 五星
3027,虽然是赠品给的，但是很好用 很滋润保湿 精华也很多,虽然是赠品给的 但是很好用 很滋润保湿 精华也很多,赠品 很好用 很滋润 保湿 精华 很多
3028,好，不假白，包装完好，均匀肤色去除暗沉。,好 不假白 包装完好 均匀肤色去除暗沉,好 不假白 包装 完好 均匀肤色 去除暗沉
3029,宝贝很好用，用过后皮肤很细腻，毛孔也变小了。,宝贝很好用 用过后皮肤很细腻 毛孔也变小了,宝贝 很好用 用 过后 皮肤 很细腻 毛孔 变小
3030,这是我用过卸妆力最差！！！的卸妆水，洗面奶都比它干净,这是我用过卸妆力最差 的卸妆水 洗面奶都比它干净,用 卸妆力 最差 卸妆水 洗面奶 比 干净
3031,第一次购买，特意用了以后评价的，味道不错，用着不油腻，总之挺好用的,第一次购买 特意用了以后评价的 味道不错 用着不油腻 总之挺好用的,第一次 购买 特意 用 以后 评价 味道 不错 用 不油腻 总之 挺好用的
3032,搞活动买的，***老品牌了，物美价廉 一如既往的好,搞活动买的 某品牌 老品牌了 物美价廉 一如既往的好,搞 活动 买 某品牌 老 品牌 物美价廉 一如既往的好
3033,超级划算哦 日常补水没问题了 隔天就用 还送了二十片 真的很划算呢,超级划算哦 日常补水没问题了 隔天就用 还送了二十片 真的很划算呢,超级划算 日常 补水 没问题 隔天 用 还 送 二十 片 真的 很划算
3034,不错，敏感肌肤可以用,不错 敏感肌肤可以用,不错 敏感 肌肤 可以 用
3035,质量不错?一直在**商城,质量不错 一直在 某品牌 商城,质量 不错 一直 某品牌 商城
3036,很好，物流也很快，服务态度，很好。,很好 物流也很快 服务态度 很好,很好 物流 很快 服务态度 很好
3037,过年回家正好能用，但愿能够有美白的功效，使用有效果，我会来告诉大家。,过年回家正好能用 但愿能够有美白的功效 使用有效果 我会来告诉大家,过年 回家 正好 能 用 但愿 能够 有 美白 功效 使用 有 效果 我会 来 告诉
3038,空气霜还没用，先用了送的大红瓶小样，果然是挺油腻的，偏油皮只好晚上用吧,空气霜还没用 先用了送的大红瓶小样 果然是挺油腻的 偏油皮只好晚上用吧,空气 霜 还 没用 先用 送 大红 瓶 小样 果然 挺油腻 偏 油皮 只好 晚上 用
3039,质地柔软细腻，吸收也挺快，后期看看美白效果！,质地柔软细腻 吸收也挺快 后期看看美白效果,质地 柔软 细腻 吸收 挺快 后期 看看 美白效果
3040,还不错吧挺补水的喜欢用这一款面膜,还不错吧挺补水的喜欢用这一款面膜,还不错 挺补水的 喜欢 用 一款 面膜
3041,看推荐购买，应该补水还可以,看推荐购买 应该补水还可以,看 推荐 购买 应该 补水 还可以
3042,很好用，很自然，看起来而且很滋润，用了之后觉得皮肤还是挺好的，挺细腻的。,很好用 很自然 看起来而且很滋润 用了之后觉得皮肤还是挺好的 挺细腻的,很好用 很自然 看起来 而且 很滋润 用 之后 觉得 皮肤 还是 挺好的 挺细腻的
3043,以前用面膜过敏不晓得这个牌子 用了会不会过敏，今天第一天用,以前用面膜过敏不晓得这个牌子 用了会不会过敏 今天第一天用,以前 用 面膜 过敏 不 晓得 牌子 用 会不会过敏 今天 第一天 用
3044,**物流真是神速，早上下单，下午就到了，晚上就可以用了，赞?,某品牌 物流真是神速 早上下单 下午就到了 晚上就可以用了 赞,某品牌 物流 真是神速 早上 下单 下午 到 晚上 可以 用 赞
3045,老顾客，都好用,老顾客 都好用,老 顾客 好用
3046,这次领券搞活动屯点货，宝贝不错，就是物流太慢了。,这次领券搞活动屯点货 宝贝不错 就是物流太慢了,这次 领券 搞 活动 屯 点货 宝贝 不错 物流 太慢了
3047,买了几次了，感觉这次的味道跟以前不一样,买了几次了 感觉这次的味道跟以前不一样,买 几次 感觉 这次 味道 跟 以前 不一样
3048,很好用，挺补水的,很好用 挺补水的,很好用 挺补水的
3049,宝贝可以，客服态度极差。导购92客服,宝贝可以 客服态度极差 导购92客服,宝贝 可以 客服态度 极差 导购 客服
3050,还可以，送了两个同一款产品。,还可以 送了两个同一款产品,还可以 送 两个 同 一款 产品
3051,还可以第二次购买了,还可以第二次购买了,还可以 第二次 购买
3052,买过好几个了，很好用，敏感肌肤也没问题的,买过好几个了 很好用 敏感肌肤也没问题的,买过 好几个 很好用 敏感 肌肤 没问题
3053,挺好用的..遮瑕效果也很好..,挺好用的 遮瑕效果也很好,挺好用的 遮瑕效果 也很好
3054,不是很好用，有点卡粉,不是很好用 有点卡粉,不是很好用 有点卡粉
3055,***的化妆品还是不错的，值得购买，性价比很高的活动就参加了！！！,某品牌 的化妆品还是不错的 值得购买 性价比很高的活动就参加了,某品牌 化妆品 还是不错的 值得 购买 性价比 很高 活动 参加
3056,隔离霜，马上效果挺好的，今天第一次用很喜欢，特别是卸妆水很光滑不以前的那种没有你怎么不好用？,隔离霜 马上效果挺好的 今天第一次用很喜欢 特别是卸妆水很光滑不以前的那种没有你怎么不好用,隔离霜 马上 效果 挺好的 今天 第一次 用 很喜欢 特别 卸妆水 很光滑 不 以前 那种 没有 不好用
3057,特别好用，比较保湿，也能洗干净,特别好用 比较保湿 也能洗干净,特别好用 比较保湿 能 洗干净
3058,实惠，以前没用过，这次试试，看着袋子很漂亮。,实惠 以前没用过 这次试试 看着袋子很漂亮,实惠 以前 没用过 这次 试试 看着 袋子 很漂亮
3059,平时买产品赠送的卸妆液不错，现在也买来用了，不错！,平时买产品赠送的卸妆液不错 现在也买来用了 不错,平时 买 产品 赠送 卸妆液 不错 现在 买来 用 不错
3060,第二次购买了，觉得很好用，还送了很多赠品，超赞！,第二次购买了 觉得很好用 还送了很多赠品 超赞,第二次 购买 觉得 很好用 还 送 很多 赠品 超赞
3061,感觉用着挺好，洗得干净，只是洗完脸稍微有点干。,感觉用着挺好 洗得干净 只是洗完脸稍微有点干,感觉 用 挺好 洗得干净 只是 洗完 脸 稍微有点干
3062,面膜保湿效果不错，价格合理，值得购买，一直用这个牌子的,面膜保湿效果不错 价格合理 值得购买 一直用这个牌子的,面膜 保湿效果 不错 价格合理 值得 购买 一直用 牌子
3063,送了两个替换装，很惊喜,送了两个替换装 很惊喜,送 两个 替换 装 很惊喜
3064,没有赠品了,没有赠品了,没有 赠品
3065,货已收到了，物流服务好，质量很好,货已收到了 物流服务好 质量很好,货已 收到 物流服务 好 质量 很好
3066,一直用的***的面膜，很好用,一直用的 某品牌 的面膜 很好用,一直用 某品牌 面膜 很好用
3067,试了一下，挺好的，味道也还可以如果替换芯里面有气垫就好了,试了一下 挺好的 味道也还可以如果替换芯里面有气垫就好了,试 挺好的 味道 还可以 替换 芯 里面 有 气垫 好
3068,试了一下挺好,试了一下挺好,试 挺好
3069,第一次用的时候成膜有点慢 第二次的直接水后用 效果完美 带有一定的润色效果 会回购,第一次用的时候成膜有点慢 第二次的直接水后用 效果完美 带有一定的润色效果 会回购,第一次 用 时候 成膜 有点慢 第二次 直接 水后 用 效果 完美 带有 一定 润色效果 会 回购
3070,粉质细 上妆轻薄透亮 紫色提亮肤色不夸张 物美价廉 会回购喜欢 要上加上防�就更好了方便一瓶搞定,粉质细 上妆轻薄透亮 紫色提亮肤色不夸张 物美价廉 会回购喜欢 要上加上防 就更好了方便一瓶搞定,粉质 细 上妆 轻薄 透亮 紫色 提亮肤色 不夸张 物美价廉 会 回购 喜欢 要 上 加上 防 更好 方便 一瓶 搞定
3071,补水效果不错，价格也实惠，做活动还会买,补水效果不错 价格也实惠 做活动还会买,补水效果 不错 价格 实惠 做 活动 还会 买
3072,宝贝收到了，女儿可喜欢了，马上擦上看看，爱不释手,宝贝收到了 女儿可喜欢了 马上擦上看看 爱不释手,宝贝 收到 女儿 可 喜欢 马上 擦 上 看看 爱不释手
3073,买一发三，挺划算的，相信**，用完还来。,买一发三 挺划算的 相信 某品牌 用完还来,买 一发 三 挺划算的 相信 某品牌 用 完 还 来
3074,还算是不错的，虽然有一点点干。但是对敏感肌来说这已经很好了！,还算是不错的 虽然有一点点干 但是对敏感肌来说这已经很好了,还 算是 不错的 有一点点干 对 敏感肌 来说 很好
3075,洗面奶挺温和的 老妈很喜欢呀,洗面奶挺温和的 老妈很喜欢呀,洗面奶 挺温和的 老妈 很喜欢
3076,收到后马上试用，用过之后很清爽,收到后马上试用 用过之后很清爽,收到 后 马上 试用 用过 之后 很清爽
3077,宝贝已收到，还行吧,宝贝已收到 还行吧,宝贝 收到 还行吧
3078,特意等用了才来评价的，说实话一般，泡沫很少，洗了脸有点紧绷，不是很适合我,特意等用了才来评价的 说实话一般 泡沫很少 洗了脸有点紧绷 不是很适合我,特意 等 用 来 评价 说实话 一般 泡沫 很少 洗 脸 有点紧绷 不是很适合
3079,**快递就是强大，第一次***的，用过之后再来评价,某品牌 快递就是强大 第一次 某品牌 的 用过之后再来评价,某品牌 快递 强大 第一次 某品牌 用过 之后 来 评价
3080,隔离霜味道很好闻。是我喜欢的味道，就是挤出来的时候一直往外出，止不住,隔离霜味道很好闻 是我喜欢的味道 就是挤出来的时候一直往外出 止不住,隔离霜 味道 很好闻 喜欢的 味道 挤出来 时候 一直 往 外出 止不住
3081,收到了，感觉还行吧。效果不错，会再次光顾的。,收到了 感觉还行吧 效果不错 会再次光顾的,收到 感觉 还行吧 效果 不错 会 再次 光顾
3082,清洁能力：搞活动很实惠,清洁能力 搞活动很实惠,清洁能力 搞 活动 很实惠
3083,这种面膜曾经用过，感觉还不错。正好趁三八女王节在次入手了。献给节日的自己！节日快乐！,这种面膜曾经用过 感觉还不错 正好趁三八女王节在次入手了 献给节日的自己 节日快乐,这种 面膜 曾经 用过 感觉 还不错 正好 趁 三八 女王 节在次 入手 献给 节日 节日快乐
3084,一直都在用***的产品，之前都是在实体店买的，现在才发现在**买更方便而且价格便宜哦,一直都在用 某品牌 的产品 之前都是在实体店买的 现在才发现在 某品牌 买更方便而且价格便宜哦,一直 用 某品牌 产品 之前 实体店 买 现在 发现 某品牌 买 更 方便 而且 价格便宜
3085,货已收到，之前在实体店买的新款的146，这次在网上买的老款的，领了优惠券以后111,货已收到 之前在实体店买的新款的146 这次在网上买的老款的 领了优惠券以后111,货已 收到 之前 实体店 买 新款 这次 网上 买 老款 领了 优惠券 以后
3086,东西很不错，很熟服，水水的，味道也很好,东西很不错 很熟服 水水的 味道也很好,东西 很不错 很熟服 水水的 味道 也很好
3087,东西不错值得好评,东西不错值得好评,东西 不错 值得 好评
3088,不错好帖,不错好帖,不错 好帖
3089,用这个牌子有点时间了，感觉不错，所以继续，发货物流超快，还可以。,用这个牌子有点时间了 感觉不错 所以继续 发货物流超快 还可以,用 牌子 有点 时间 感觉不错 继续 发货物流 超快 还可以
